Candidate,Votes,County,race
Total Votes,15643,Eddy,Secretary of State
MAGGIE TOULOUSE OLIVER,6999,Grant,Secretary of State
GINGER G GRIDER,553,Grant,Secretary of State
GAVIN S CLARKSON,4140,Grant,Secretary of State
Total Votes,11692,Grant,Secretary of State
MAGGIE TOULOUSE OLIVER,1151,Guadalupe,Secretary of State
GINGER G GRIDER,85,Guadalupe,Secretary of State
GAVIN S CLARKSON,411,Guadalupe,Secretary of State
Total Votes,1647,Guadalupe,Secretary of State
MAGGIE TOULOUSE OLIVER,200,Harding,Secretary of State
GINGER G GRIDER,17,Harding,Secretary of State
GAVIN S CLARKSON,247,Harding,Secretary of State
Total Votes,464,Harding,Secretary of State
MAGGIE TOULOUSE OLIVER,819,Hidalgo,Secretary of State
GINGER G GRIDER,53,Hidalgo,Secretary of State
GAVIN S CLARKSON,677,Hidalgo,Secretary of State
Total Votes,1549,Hidalgo,Secretary of State
MAGGIE TOULOUSE OLIVER,3398,Lea,Secretary of State
GINGER G GRIDER,565,Lea,Secretary of State
GAVIN S CLARKSON,9796,Lea,Secretary of State
Total Votes,13759,Lea,Secretary of State
MAGGIE TOULOUSE OLIVER,2573,Lincoln,Secretary of State
GINGER G GRIDER,423,Lincoln,Secretary of State
GAVIN S CLARKSON,4794,Lincoln,Secretary of State
Total Votes,7790,Lincoln,Secretary of State
MAGGIE TOULOUSE OLIVER,5778,Los Alamos,Secretary of State
GINGER G GRIDER,784,Los Alamos,Secretary of State
GAVIN S CLARKSON,3482,Los Alamos,Secretary of State
